Date,Open,High,Low,Close,Adj Close,Volume
2022-04-04,791.000000,822.150024,783.650024,818.549988,807.489868,13743062
2022-04-05,840.000000,860.900024,826.000000,848.049988,836.591309,21090646
2022-04-06,852.950012,862.650024,840.000000,849.849976,838.366943,8785541
2022-04-07,850.000000,866.000000,813.599976,817.400024,806.355469,11662093
2022-04-08,823.000000,844.799988,817.400024,839.299988,827.959595,5777924
2022-04-11,840.000000,860.000000,839.299988,854.549988,843.003540,6030153
2022-04-12,853.900024,859.000000,835.000000,844.900024,833.483887,5597246
2022-04-13,849.900024,854.900024,836.500000,840.500000,829.143311,2955807
2022-04-18,831.349976,846.750000,821.400024,842.700012,831.313599,3969878
2022-04-19,849.000000,850.250000,807.000000,819.299988,808.229797,4472320
2022-04-20,825.599976,835.950012,820.000000,827.650024,816.466980,3071216
2022-04-21,833.000000,858.900024,832.299988,850.500000,839.008240,5539106
2022-04-22,847.450012,886.000000,840.700012,874.150024,862.338684,17864000
2022-04-25,873.950012,880.950012,848.650024,859.549988,847.935913,10145325
2022-04-26,868.000000,913.000000,865.400024,909.500000,897.211060,21010788
2022-04-27,914.049988,924.650024,880.000000,887.299988,875.310974,20793885
2022-04-28,899.000000,900.250000,876.799988,887.099976,875.113647,8778304
2022-04-29,892.700012,898.900024,852.099976,856.400024,844.828552,11543840
2022-05-02,850.000000,862.849976,838.049988,856.549988,844.976440,5760499
2022-05-04,860.500000,864.200012,805.799988,812.799988,801.817627,7969164
2022-05-05,820.900024,835.500000,806.000000,811.349976,800.387207,6597383
2022-05-06,797.900024,820.950012,790.200012,811.400024,800.436523,6150326
2022-05-09,807.450012,807.450012,783.000000,792.599976,781.890564,4768026
2022-05-10,795.200012,803.950012,765.049988,769.099976,758.708069,5344522
2022-05-11,771.000000,784.950012,749.049988,759.900024,749.632446,8985117
2022-05-12,759.000000,759.000000,705.299988,713.299988,703.661987,10570456
2022-05-13,727.000000,735.900024,701.799988,705.900024,696.362000,7247809
2022-05-16,715.000000,728.150024,704.000000,712.500000,702.872803,5606071
2022-05-17,720.000000,747.299988,715.349976,744.750000,734.687073,4430294
2022-05-18,752.650024,767.200012,742.000000,759.799988,749.533752,9020504
2022-05-19,744.000000,747.349976,730.000000,732.799988,722.898560,4445667
2022-05-20,749.950012,772.799988,745.099976,767.549988,757.179016,5434279
2022-05-23,774.849976,779.900024,751.250000,753.549988,743.368164,4787481
2022-05-24,756.599976,764.799988,747.500000,752.150024,741.987122,4653281
